"","tripduration","starttime","stoptime","start.station.id","start.station.name","start.station.latitude","start.station.longitude","end.station.id","end.station.name","end.station.latitude","end.station.longitude","bikeid","usertype","birth.year","gender","season","DATE","STATION","NAME","PRCP","SNOW","SNWD","TMAX","TMIN"
"17",224,"2019-01-11 09:26:51.3340","2019-01-11 09:30:35.9600","3718","E 11 St & Avenue B",40.7274642069239,-73.9795041829348,"237","E 11 St & 2 Ave",40.73047309,-73.98672378,25138,"Subscriber",1970,1,"winter","2019-01-11","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,-1,-6
"18",691,"2019-01-27 11:31:27.0400","2019-01-27 11:42:58.2050","3540","Morningside Ave & W 123 St",40.81,-73.9551508,"3538","W 110 St & Amsterdam Ave",40.802692,-73.96295,33981,"Customer",1969,0,"winter","2019-01-27","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,9.4,0
"19",846,"2019-01-06 17:09:12.9920","2019-01-06 17:23:19.8520","279","Peck Slip & Front St",40.707873,-74.00167,"432","E 7 St & Avenue A",40.72621788,-73.98379855,32830,"Subscriber",1995,2,"winter","2019-01-06","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,9.4,-0.5
"20",609,"2019-01-02 17:04:41.0370","2019-01-02 17:14:50.1400","536","1 Ave & E 30 St",40.74144387,-73.97536082,"3641","Broadway & W 25 St",40.7428687731211,-73.9891862869263,34193,"Subscriber",1986,2,"winter","2019-01-02","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,4.4,1.7
"21",547,"2019-01-04 18:31:19.3460","2019-01-04 18:40:26.5930","382","University Pl & E 14 St",40.73492695,-73.99200509,"3659","W 17 St & 9 Ave",40.7429489166009,-74.0041369199753,17704,"Subscriber",1955,1,"winter","2019-01-04","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,8.3,1.7
"22",417,"2019-01-01 14:30:48.2690","2019-01-01 14:37:45.8520","402","Broadway & E 22 St",40.7403432,-73.98955109,"461","E 20 St & 2 Ave",40.73587678,-73.98205027,31450,"Subscriber",1970,1,"winter","2019-01-01","USW00094728","NY CITY CENTRAL PARK, NY US",1.5,0,0,14.4,3.9
"23",2673,"2019-01-23 22:23:49.3140","2019-01-23 23:08:22.7970","379","W 31 St & 7 Ave",40.749156,-73.9916,"3486","Schermerhorn St & Bond St",40.6884174275408,-73.9845165610313,33567,"Subscriber",1971,1,"winter","2019-01-23","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,11.1,-0.5
"24",201,"2019-01-10 22:53:52.5220","2019-01-10 22:57:13.9400","316","Fulton St & William St",40.70955958,-74.00653609,"319","Fulton St & Broadway",40.711066,-74.009447,15737,"Subscriber",1995,1,"winter","2019-01-10","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,1.1,-2.1
"25",401,"2019-01-30 13:30:37.2060","2019-01-30 13:37:19.1410","3725","2 Ave & E 72 St",40.7687620293096,-73.9584079384804,"3147","E 85 St & 3 Ave",40.77801203,-73.95407149,33136,"Subscriber",1964,1,"winter","2019-01-30","USW00094728","NY CITY CENTRAL PARK, NY US",0.3,10,0,1.7,-14.3
"26",704,"2019-01-28 08:13:44.4680","2019-01-28 08:25:29.1620","3297","6 St & 7 Ave",40.6686627,-73.97988067,"3429","Hanson Pl & Ashland Pl",40.6850680730818,-73.9779075980186,33440,"Subscriber",1975,1,"winter","2019-01-28","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,3.3,-3.8
"27",1816,"2019-01-14 08:08:01.6510","2019-01-14 08:38:18.1010","301","E 2 St & Avenue B",40.72217444,-73.98368779,"2021","W 45 St & 8 Ave",40.75929124,-73.98859651,25476,"Subscriber",1990,1,"winter","2019-01-14","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,0,-5.5
"28",298,"2019-01-30 15:30:45.8870","2019-01-30 15:35:44.2890","324","DeKalb Ave & Hudson Ave",40.689888,-73.981013,"353","S Portland Ave & Hanson Pl",40.68539567,-73.97431458,15448,"Subscriber",1986,2,"winter","2019-01-30","USW00094728","NY CITY CENTRAL PARK, NY US",0.3,10,0,1.7,-14.3
"29",210,"2019-01-28 08:38:23.0280","2019-01-28 08:41:53.8420","2012","E 27 St & 1 Ave",40.739445,-73.976806,"501","FDR Drive & E 35 St",40.744219,-73.97121214,35399,"Subscriber",1984,1,"winter","2019-01-28","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,3.3,-3.8
"30",310,"2019-01-27 10:57:04.8590","2019-01-27 11:02:15.3600","3164","Columbus Ave & W 72 St",40.7770575,-73.97898475,"3158","W 63 St & Broadway",40.77163851,-73.98261428,29082,"Subscriber",1986,2,"winter","2019-01-27","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,9.4,0
"31",184,"2019-01-13 12:15:46.4700","2019-01-13 12:18:51.0400","391","Clark St & Henry St",40.69760127,-73.99344559,"3402","Court St & State St",40.6902375,-73.99203074,32088,"Subscriber",1993,1,"winter","2019-01-13","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,0.6,-3.8
"32",383,"2019-01-27 14:39:04.6000","2019-01-27 14:45:28.1160","509","9 Ave & W 22 St",40.7454973,-74.00197139,"3441","10 Hudson Yards",40.752957,-74.00264,15746,"Subscriber",1954,1,"winter","2019-01-27","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,9.4,0
"33",474,"2019-01-16 23:06:16.8910","2019-01-16 23:14:11.3510","3074","Montrose Ave & Bushwick Ave",40.70767788,-73.94016171,"3059","Pulaski St & Marcus Garvey Blvd",40.6933982,-73.939877,29340,"Subscriber",1991,1,"winter","2019-01-16","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,3.9,-1
"34",509,"2019-01-03 13:06:56.9720","2019-01-03 13:15:26.6450","520","W 52 St & 5 Ave",40.75992262,-73.97648516,"526","E 33 St & 5 Ave",40.74765947,-73.98490707,15809,"Subscriber",1992,2,"winter","2019-01-03","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,6.7,2.8
"35",1152,"2019-01-26 19:13:15.3760","2019-01-26 19:32:28.0440","470","W 20 St & 8 Ave",40.74345335,-74.00004031,"3002","South End Ave & Liberty St",40.711512,-74.015756,34790,"Subscriber",1988,1,"winter","2019-01-26","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,1.7,-4.3
"36",323,"2019-01-02 17:44:18.1750","2019-01-02 17:49:41.9510","363","West Thames St",40.70834698,-74.01713445,"304","Broadway & Battery Pl",40.70463334,-74.01361706,16470,"Subscriber",1970,1,"winter","2019-01-02","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,4.4,1.7
"37",627,"2019-01-15 16:59:00.7470","2019-01-15 17:09:28.4170","402","Broadway & E 22 St",40.7403432,-73.98955109,"3255","8 Ave & W 31 St",40.7505853470215,-73.9946848154068,31917,"Subscriber",1988,2,"winter","2019-01-15","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,2.2,-3.8
"38",1743,"2019-01-02 18:15:59.4180","2019-01-02 18:45:03.3960","523","W 38 St & 8 Ave",40.75466591,-73.99138152,"3082","Hope St & Union Ave",40.71167351,-73.95141312,15999,"Subscriber",1978,1,"winter","2019-01-02","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,4.4,1.7
"39",1251,"2019-01-24 11:32:38.1390","2019-01-24 11:53:29.4710","3063","Nostrand Ave & Myrtle Ave",40.69527008,-73.95238108,"3398","Smith St & 9 St",40.6746957,-73.99785768,34821,"Subscriber",1994,1,"winter","2019-01-24","USW00094728","NY CITY CENTRAL PARK, NY US",33.8,0,0,15,1.7
"40",1997,"2019-01-22 08:37:04.1580","2019-01-22 09:10:21.9920","356","Bialystoker Pl & Delancey St",40.71622644,-73.98261206,"529","W 42 St & 8 Ave",40.7575699,-73.99098507,26446,"Subscriber",1987,1,"winter","2019-01-22","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,-0.5,-10.5
"41",411,"2019-01-25 20:20:33.8980","2019-01-25 20:27:25.2420","3115","India St & Manhattan Ave",40.73232194,-73.9550858,"3117","Franklin St & Dupont St",40.73564,-73.95866,19025,"Subscriber",1976,2,"winter","2019-01-25","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,4.4,-2.1
"42",160,"2019-01-16 14:11:43.0290","2019-01-16 14:14:23.4200","519","Pershing Square North",40.751873,-73.977706,"3680","E 43 St & 5 Ave",40.7541208107793,-73.9802518486977,35638,"Subscriber",1969,0,"winter","2019-01-16","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,3.9,-1
"43",208,"2019-01-17 08:15:38.7130","2019-01-17 08:19:06.9720","3171","Amsterdam Ave & W 82 St",40.78524672,-73.97667321,"3167","Amsterdam Ave & W 73 St",40.7796680900731,-73.9809304475784,29194,"Subscriber",1983,1,"winter","2019-01-17","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,0.6,-4.3
"44",295,"2019-01-09 07:45:12.8520","2019-01-09 07:50:08.7780","3354","3 St & Prospect Park West",40.668132,-73.97363831,"3418","Plaza St West & Flatbush Ave",40.6750207,-73.97111473,18828,"Subscriber",1961,2,"winter","2019-01-09","USW00094728","NY CITY CENTRAL PARK, NY US",1.5,0,0,7.2,1.1
"45",195,"2019-01-21 00:24:32.5760","2019-01-21 00:27:47.6010","3521","Lenox Ave & W 111 St",40.7987859,-73.9523,"3400","E 110 St & Madison Ave",40.7961535,-73.94782145,18878,"Subscriber",1990,1,"winter","2019-01-21","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,-9.9,-15.5
"46",387,"2019-01-31 13:17:36.9930","2019-01-31 13:24:04.8430","3684","W 12 St & W 4 St",40.7375612118114,-74.0039826929569,"435","W 21 St & 6 Ave",40.74173969,-73.99415556,16710,"Subscriber",1954,2,"winter","2019-01-31","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,-8.8,-16.6
"47",235,"2019-01-18 15:49:38.8790","2019-01-18 15:53:34.6800","3143","5 Ave & E 78 St",40.7763214218227,-73.9642739295959,"3143","5 Ave & E 78 St",40.7763214218227,-73.9642739295959,33108,"Customer",1985,1,"winter","2019-01-18","USW00094728","NY CITY CENTRAL PARK, NY US",1.3,13,30,3.9,-1.6
"48",289,"2019-01-25 22:52:08.8240","2019-01-25 22:56:57.9380","446","W 24 St & 7 Ave",40.74487634,-73.99529885,"388","W 26 St & 10 Ave",40.749717753,-74.002950346,32602,"Subscriber",1982,2,"winter","2019-01-25","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,4.4,-2.1
"49",143,"2019-01-12 17:28:26.7640","2019-01-12 17:30:50.4780","504","1 Ave & E 16 St",40.73221853,-73.98165557,"545","E 23 St & 1 Ave",40.736502,-73.97809472,17277,"Subscriber",1993,2,"winter","2019-01-12","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,1.1,-6.6
"50",2277,"2019-01-26 16:23:08.9340","2019-01-26 17:01:06.2140","519","Pershing Square North",40.751873,-73.977706,"3552","W 113 St & Broadway",40.805973,-73.964928,34033,"Subscriber",1962,2,"winter","2019-01-26","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,1.7,-4.3
"51",1851,"2019-01-20 10:44:53.5760","2019-01-20 11:15:45.1480","3687","E 33 St & 1 Ave",40.7432268143217,-73.9744978398085,"304","Broadway & Battery Pl",40.70463334,-74.01361706,19357,"Subscriber",1979,1,"winter","2019-01-20","USW00094728","NY CITY CENTRAL PARK, NY US",22.4,0,0,5.6,-9.9
"52",381,"2019-01-27 16:34:17.6810","2019-01-27 16:40:38.7390","531","Forsyth St & Broome St",40.71893904,-73.99266288,"3427","Lafayette St & Jersey St",40.7243052725033,-73.9960098266602,18996,"Subscriber",1980,1,"winter","2019-01-27","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,9.4,0
"53",523,"2019-01-05 12:30:14.7770","2019-01-05 12:38:58.5570","476","E 31 St & 3 Ave",40.74394314,-73.97966069,"494","W 26 St & 8 Ave",40.74734825,-73.99723551,35211,"Subscriber",1966,1,"winter","2019-01-05","USW00094728","NY CITY CENTRAL PARK, NY US",12.7,0,0,8.3,5
"54",3112,"2019-01-09 16:07:52.9270","2019-01-09 16:59:45.8700","386","Centre St & Worth St",40.71494807,-74.00234482,"236","St Marks Pl & 2 Ave",40.7284186,-73.98713956,35073,"Subscriber",1960,1,"winter","2019-01-09","USW00094728","NY CITY CENTRAL PARK, NY US",1.5,0,0,7.2,1.1
"55",374,"2019-01-14 08:36:49.1940","2019-01-14 08:43:03.7070","3259","9 Ave & W 28 St",40.7493702419328,-73.9992338418961,"3660","W 16 St & 8 Ave",40.7410215090027,-74.001384973526,17284,"Subscriber",1987,2,"winter","2019-01-14","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,0,-5.5
"56",1194,"2019-01-16 06:46:51.2540","2019-01-16 07:06:46.1620","470","W 20 St & 8 Ave",40.74345335,-74.00004031,"427","Bus Slip & State St",40.701907,-74.013942,28845,"Subscriber",1992,1,"winter","2019-01-16","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,3.9,-1
"57",1253,"2019-01-14 15:42:53.6170","2019-01-14 16:03:46.8610","3658","W 18 St & 9 Ave",40.7435337324616,-74.0036755800247,"265","Stanton St & Chrystie St",40.72229346,-73.99147535,16239,"Subscriber",1957,2,"winter","2019-01-14","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,0,-5.5
"58",778,"2019-01-17 14:07:35.3290","2019-01-17 14:20:33.8960","305","E 58 St & 3 Ave",40.76095756,-73.96724467,"3699","W 50 St & 9 Ave",40.7636046779586,-73.9891795814037,35540,"Subscriber",1988,1,"winter","2019-01-17","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,0.6,-4.3
"59",320,"2019-01-02 15:47:03.7930","2019-01-02 15:52:24.7360","483","E 12 St & 3 Ave",40.73223272,-73.98889957,"280","E 10 St & 5 Ave",40.73331967,-73.99510132,34774,"Subscriber",1977,1,"winter","2019-01-02","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,4.4,1.7
"60",300,"2019-01-31 20:39:16.0300","2019-01-31 20:44:17.0270","161","LaGuardia Pl & W 3 St",40.72917025,-73.99810231,"293","Lafayette St & E 8 St",40.7302066052995,-73.9910262823105,20201,"Subscriber",1976,1,"winter","2019-01-31","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,-8.8,-16.6
"61",698,"2019-01-11 15:33:49.8390","2019-01-11 15:45:28.5420","341","Stanton St & Mangin St",40.71782143,-73.97628939,"3427","Lafayette St & Jersey St",40.7243052725033,-73.9960098266602,33790,"Subscriber",1982,1,"winter","2019-01-11","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,-1,-6
"62",412,"2019-01-05 17:45:53.0260","2019-01-05 17:52:45.7450","3715","Driggs Ave & N 9 St",40.7181696945421,-73.9552013576031,"3430","Richardson St & N Henry St",40.7190789117956,-73.9422369003296,32381,"Subscriber",1983,1,"winter","2019-01-05","USW00094728","NY CITY CENTRAL PARK, NY US",12.7,0,0,8.3,5
"63",272,"2019-01-12 08:55:25.9860","2019-01-12 08:59:57.9960","3147","E 85 St & 3 Ave",40.77801203,-73.95407149,"3378","E 76 St & Park Ave",40.773763,-73.96222088,32198,"Subscriber",1975,1,"winter","2019-01-12","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,1.1,-6.6
"64",750,"2019-01-18 08:28:43.4560","2019-01-18 08:41:14.3600","3142","1 Ave & E 62 St",40.7612274,-73.96094022,"517","Pershing Square South",40.751581,-73.97791,35686,"Subscriber",1972,1,"winter","2019-01-18","USW00094728","NY CITY CENTRAL PARK, NY US",1.3,13,30,3.9,-1.6
"65",250,"2019-01-05 12:23:05.8840","2019-01-05 12:27:16.8560","325","E 19 St & 3 Ave",40.73624527,-73.98473765,"435","W 21 St & 6 Ave",40.74173969,-73.99415556,34377,"Subscriber",1987,1,"winter","2019-01-05","USW00094728","NY CITY CENTRAL PARK, NY US",12.7,0,0,8.3,5
"66",332,"2019-01-25 07:48:47.0880","2019-01-25 07:54:19.5630","494","W 26 St & 8 Ave",40.74734825,-73.99723551,"486","Broadway & W 29 St",40.7462009,-73.98855723,25705,"Subscriber",1981,1,"winter","2019-01-25","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,4.4,-2.1
"67",811,"2019-01-09 08:19:43.5150","2019-01-09 08:33:14.5180","3259","9 Ave & W 28 St",40.7493702419328,-73.9992338418961,"447","8 Ave & W 52 St",40.76370739,-73.9851615,16293,"Subscriber",1995,2,"winter","2019-01-09","USW00094728","NY CITY CENTRAL PARK, NY US",1.5,0,0,7.2,1.1
"68",582,"2019-01-13 09:25:40.0120","2019-01-13 09:35:22.6750","3343","W 107 St & Columbus Ave",40.7997568,-73.9621128676,"3170","W 84 St & Columbus Ave",40.78499979,-73.97283406,24840,"Subscriber",1969,1,"winter","2019-01-13","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,0.6,-3.8
"69",181,"2019-01-15 09:10:45.3650","2019-01-15 09:13:46.6060","3668","Leonard St & Nassau Ave",40.7239567849954,-73.9498436450958,"3110","Meserole Ave & Manhattan Ave",40.72708584,-73.95299117,20986,"Subscriber",1991,1,"winter","2019-01-15","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,2.2,-3.8
"70",582,"2019-01-07 08:54:53.0360","2019-01-07 09:04:35.3780","450","W 49 St & 8 Ave",40.76227205,-73.98788205,"359","E 47 St & Park Ave",40.75510267,-73.97498696,28910,"Subscriber",1985,2,"winter","2019-01-07","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,1.1,-3.8
"71",833,"2019-01-06 09:56:49.3760","2019-01-06 10:10:42.5030","3141","1 Ave & E 68 St",40.76500525,-73.95818491,"530","11 Ave & W 59 St",40.7714967105444,-73.9904603362083,30345,"Subscriber",1990,1,"winter","2019-01-06","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,9.4,-0.5
"72",382,"2019-01-07 16:56:22.0510","2019-01-07 17:02:44.3870","3134","3 Ave & E 62 St",40.76312584,-73.96526895,"3156","E 72 St & York Ave",40.76663814,-73.95348296,30655,"Subscriber",1969,1,"winter","2019-01-07","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,1.1,-3.8
"73",289,"2019-01-07 17:05:54.1580","2019-01-07 17:10:43.4010","435","W 21 St & 6 Ave",40.74173969,-73.99415556,"442","W 27 St & 7 Ave",40.746647,-73.993915,18072,"Subscriber",1986,1,"winter","2019-01-07","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,1.1,-3.8
"74",874,"2019-01-25 08:11:07.4010","2019-01-25 08:25:41.7530","312","Allen St & Stanton St",40.722055,-73.989111,"260","Broad St & Bridge St",40.70365182,-74.01167797,34961,"Subscriber",1950,2,"winter","2019-01-25","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,4.4,-2.1
"75",360,"2019-01-16 20:26:48.7980","2019-01-16 20:32:48.9820","2021","W 45 St & 8 Ave",40.75929124,-73.98859651,"422","W 59 St & 10 Ave",40.770513,-73.988038,35759,"Subscriber",1990,1,"winter","2019-01-16","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,3.9,-1
"76",259,"2019-01-17 08:34:01.7920","2019-01-17 08:38:21.2700","466","W 25 St & 6 Ave",40.74395411,-73.99144871,"362","Broadway & W 37 St",40.75172632,-73.98753523,26131,"Subscriber",1990,1,"winter","2019-01-17","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,0.6,-4.3
"77",1449,"2019-01-14 14:32:15.4480","2019-01-14 14:56:25.0130","518","E 39 St & 2 Ave",40.74780373,-73.9734419,"307","Canal St & Rutgers St",40.71427487,-73.98990025,19110,"Subscriber",1993,1,"winter","2019-01-14","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,0,-5.5
"78",549,"2019-01-15 08:03:08.9380","2019-01-15 08:12:18.3870","536","1 Ave & E 30 St",40.74144387,-73.97536082,"236","St Marks Pl & 2 Ave",40.7284186,-73.98713956,32727,"Subscriber",1999,1,"winter","2019-01-15","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,2.2,-3.8
"79",1913,"2019-01-25 15:24:00.6680","2019-01-25 15:55:54.4590","466","W 25 St & 6 Ave",40.74395411,-73.99144871,"3141","1 Ave & E 68 St",40.76500525,-73.95818491,34274,"Subscriber",1994,2,"winter","2019-01-25","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,4.4,-2.1
"80",586,"2019-01-30 18:32:55.3300","2019-01-30 18:42:41.9980","372","Franklin Ave & Myrtle Ave",40.694546087246,-73.9580136537552,"3637","Fulton St & Waverly Ave",40.6832386546034,-73.9659959077835,25889,"Subscriber",1993,1,"winter","2019-01-30","USW00094728","NY CITY CENTRAL PARK, NY US",0.3,10,0,1.7,-14.3
"81",364,"2019-01-22 15:03:39.7990","2019-01-22 15:09:43.9480","509","9 Ave & W 22 St",40.7454973,-74.00197139,"247","Perry St & Bleecker St",40.73535398,-74.00483091,32606,"Subscriber",1964,1,"winter","2019-01-22","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,-0.5,-10.5
"82",272,"2019-01-25 09:46:39.9630","2019-01-25 09:51:12.0160","379","W 31 St & 7 Ave",40.749156,-73.9916,"3641","Broadway & W 25 St",40.7428687731211,-73.9891862869263,27706,"Subscriber",1977,1,"winter","2019-01-25","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,4.4,-2.1
"83",722,"2019-01-18 15:59:44.3280","2019-01-18 16:11:46.4790","3131","E 68 St & 3 Ave",40.7671284034954,-73.9622461795807,"3167","Amsterdam Ave & W 73 St",40.7796680900731,-73.9809304475784,20763,"Subscriber",1958,2,"winter","2019-01-18","USW00094728","NY CITY CENTRAL PARK, NY US",1.3,13,30,3.9,-1.6
"84",340,"2019-01-03 17:08:26.7690","2019-01-03 17:14:07.5400","435","W 21 St & 6 Ave",40.74173969,-73.99415556,"494","W 26 St & 8 Ave",40.74734825,-73.99723551,30307,"Subscriber",1967,1,"winter","2019-01-03","USW00094728","NY CITY CENTRAL PARK, NY US",0,0,0,6.7,2.8
